ROUTES 100
TRUCK 1
285 DROP_CONTAINER 67
488 DROP_CONTAINER_TRAILER 719
440 PICKUP_CONTAINER_TRAILER 906
159 DROP_CONTAINER_TRAILER 906
276 PICKUP_CONTAINER_TRAILER 662
65 DROP_CONTAINER 662
250 PICKUP_CONTAINER 96
132 DROP_CONTAINER_TRAILER 96
423 PICKUP_CONTAINER_TRAILER 531
105 DROP_CONTAINER_TRAILER 531
105 PICKUP_CONTAINER_TRAILER 849
315 DROP_CONTAINER_TRAILER 849
6 STOP
#
TRUCK 12
8 PICKUP_CONTAINER_TRAILER 196
383 DROP_CONTAINER_TRAILER 196
485 PICKUP_CONTAINER_TRAILER 778
127 DROP_CONTAINER 778
309 PICKUP_CONTAINER 65
162 DROP_CONTAINER_TRAILER 65
294 PICKUP_CONTAINER_TRAILER 845
359 DROP_CONTAINER_TRAILER 845
306 PICKUP_CONTAINER_TRAILER 483
329 PICKUP_CONTAINER 835
30 DROP_CONTAINER 483
352 DROP_CONTAINER_TRAILER 835
297 PICKUP_CONTAINER_TRAILER 911
345 PICKUP_CONTAINER 384
239 DROP_CONTAINER 911
383 DROP_CONTAINER_TRAILER 384
9 PICKUP_CONTAINER_TRAILER 550
43 DROP_CONTAINER_TRAILER 550
221 PICKUP_CONTAINER_TRAILER 948
73 PICKUP_CONTAINER 686
458 DROP_CONTAINER 948
244 DROP_CONTAINER_TRAILER 686
2 STOP
#
TRUCK 13
166 PICKUP_CONTAINER_TRAILER 565
425 DROP_CONTAINER_TRAILER 565
202 PICKUP_CONTAINER_TRAILER 379
288 DROP_CONTAINER_TRAILER 379
299 PICKUP_CONTAINER_TRAILER 447
112 PICKUP_CONTAINER 710
423 DROP_CONTAINER 710
128 DROP_CONTAINER_TRAILER 447
348 PICKUP_CONTAINER_TRAILER 148
365 DROP_CONTAINER_TRAILER 148
219 PICKUP_CONTAINER_TRAILER 125
154 PICKUP_CONTAINER 71
383 DROP_CONTAINER 71
161 DROP_CONTAINER_TRAILER 125
32 PICKUP_CONTAINER_TRAILER 183
149 DROP_CONTAINER_TRAILER 183
375 PICKUP_CONTAINER_TRAILER 926
124 PICKUP_CONTAINER 475
53 DROP_CONTAINER 475
134 DROP_CONTAINER_TRAILER 926
2 STOP
#
TRUCK 14
214 PICKUP_CONTAINER_TRAILER 828
116 PICKUP_CONTAINER 984
259 DROP_CONTAINER 828
53 DROP_CONTAINER_TRAILER 984
480 PICKUP_CONTAINER_TRAILER 320
121 DROP_CONTAINER_TRAILER 320
128 PICKUP_CONTAINER_TRAILER 847
23 DROP_CONTAINER 847
36 PICKUP_CONTAINER 59
76 PICKUP_CONTAINER 819
197 DROP_CONTAINER 59
272 DROP_CONTAINER 819
233 PICKUP_CONTAINER 208
80 DROP_CONTAINER_TRAILER 208
260 PICKUP_CONTAINER_TRAILER 919
213 PICKUP_CONTAINER 127
58 DROP_CONTAINER 919
90 DROP_CONTAINER_TRAILER 127
426 PICKUP_CONTAINER_TRAILER 740
310 DROP_CONTAINER 740
131 PICKUP_CONTAINER 708
252 DROP_CONTAINER_TRAILER 708
3 STOP
#
TRUCK 15
296 PICKUP_CONTAINER_TRAILER 576
259 DROP_CONTAINER 576
87 PICKUP_CONTAINER 35
73 DROP_CONTAINER 35
224 PICKUP_CONTAINER 197
231 DROP_CONTAINER 197
156 PICKUP_CONTAINER 655
409 DROP_CONTAINER_TRAILER 655
453 PICKUP_CONTAINER_TRAILER 921
69 DROP_CONTAINER_TRAILER 921
4 STOP
#
TRUCK 16
355 PICKUP_CONTAINER_TRAILER 328
352 DROP_CONTAINER_TRAILER 328
36 PICKUP_CONTAINER_TRAILER 660
97 DROP_CONTAINER_TRAILER 660
193 PICKUP_CONTAINER_TRAILER 162
273 DROP_CONTAINER_TRAILER 162
318 PICKUP_CONTAINER_TRAILER 924
73 DROP_CONTAINER_TRAILER 924
265 PICKUP_CONTAINER_TRAILER 725
383 PICKUP_CONTAINER 254
185 DROP_CONTAINER 725
151 DROP_CONTAINER_TRAILER 254
27 PICKUP_CONTAINER_TRAILER 94
481 DROP_CONTAINER 94
336 PICKUP_CONTAINER 639
317 DROP_CONTAINER 639
240 PICKUP_CONTAINER 82
302 DROP_CONTAINER 82
155 PICKUP_CONTAINER 543
430 PICKUP_CONTAINER 865
490 DROP_CONTAINER 543
302 DROP_CONTAINER_TRAILER 865
4 STOP
#
TRUCK 17
263 PICKUP_CONTAINER_TRAILER 853
449 PICKUP_CONTAINER 534
343 DROP_CONTAINER 853
295 DROP_CONTAINER_TRAILER 534
34 PICKUP_CONTAINER_TRAILER 669
462 PICKUP_CONTAINER 225
299 DROP_CONTAINER 225
269 DROP_CONTAINER_TRAILER 669
257 PICKUP_CONTAINER_TRAILER 19
28 PICKUP_CONTAINER 255
249 DROP_CONTAINER 19
412 DROP_CONTAINER_TRAILER 255
10 PICKUP_CONTAINER_TRAILER 124
138 DROP_CONTAINER_TRAILER 124
172 PICKUP_CONTAINER_TRAILER 990
156 DROP_CONTAINER_TRAILER 990
72 PICKUP_CONTAINER_TRAILER 891
20 DROP_CONTAINER_TRAILER 891
12 PICKUP_CONTAINER_TRAILER 602
70 PICKUP_CONTAINER 18
115 DROP_CONTAINER 18
202 DROP_CONTAINER_TRAILER 602
82 PICKUP_CONTAINER_TRAILER 992
14 DROP_CONTAINER_TRAILER 992
4 STOP
#
TRUCK 18
13 PICKUP_CONTAINER_TRAILER 553
133 DROP_CONTAINER_TRAILER 553
154 PICKUP_CONTAINER_TRAILER 322
52 PICKUP_CONTAINER 10
383 DROP_CONTAINER 322
405 DROP_CONTAINER_TRAILER 10
265 PICKUP_CONTAINER_TRAILER 64
258 DROP_CONTAINER_TRAILER 64
475 PICKUP_CONTAINER_TRAILER 533
162 DROP_CONTAINER_TRAILER 533
326 PICKUP_CONTAINER_TRAILER 386
443 DROP_CONTAINER_TRAILER 386
225 PICKUP_CONTAINER_TRAILER 874
189 PICKUP_CONTAINER 977
426 DROP_CONTAINER 874
276 DROP_CONTAINER_TRAILER 977
170 PICKUP_CONTAINER_TRAILER 515
397 DROP_CONTAINER_TRAILER 515
297 PICKUP_CONTAINER_TRAILER 300
402 PICKUP_CONTAINER 441
418 DROP_CONTAINER 300
231 DROP_CONTAINER_TRAILER 441
184 PICKUP_CONTAINER_TRAILER 399
244 PICKUP_CONTAINER 467
155 DROP_CONTAINER 467
212 DROP_CONTAINER_TRAILER 399
4 STOP
#
TRUCK 19
1 PICKUP_TRAILER
389 PICKUP_CONTAINER 155
60 DROP_CONTAINER 155
46 PICKUP_CONTAINER 963
262 PICKUP_CONTAINER 258
87 DROP_CONTAINER 963
436 DROP_CONTAINER_TRAILER 258
236 PICKUP_CONTAINER_TRAILER 999
248 PICKUP_CONTAINER 955
277 DROP_CONTAINER 999
127 DROP_CONTAINER 955
272 PICKUP_CONTAINER 429
319 DROP_CONTAINER 429
118 PICKUP_CONTAINER 590
173 DROP_CONTAINER_TRAILER 590
23 PICKUP_CONTAINER_TRAILER 812
428 DROP_CONTAINER 812
275 PICKUP_CONTAINER 219
338 DROP_CONTAINER_TRAILER 219
6 STOP
#
TRUCK 20
225 PICKUP_CONTAINER_TRAILER 997
69 DROP_CONTAINER 997
1 DROP_TRAILER
145 PICKUP_CONTAINER_TRAILER 519
196 DROP_CONTAINER_TRAILER 519
1 PICKUP_TRAILER
15 PICKUP_CONTAINER 229
164 DROP_CONTAINER 229
367 PICKUP_CONTAINER 332
219 DROP_CONTAINER 332
287 PICKUP_CONTAINER 626
498 DROP_CONTAINER 626
444 PICKUP_CONTAINER 200
143 DROP_CONTAINER 200
408 PICKUP_CONTAINER 544
359 PICKUP_CONTAINER 206
213 DROP_CONTAINER 544
316 DROP_CONTAINER_TRAILER 206
5 STOP
#
TRUCK 21
323 PICKUP_CONTAINER_TRAILER 390
452 PICKUP_CONTAINER 454
339 DROP_CONTAINER 390
57 DROP_CONTAINER 454
187 PICKUP_CONTAINER 260
206 DROP_CONTAINER 260
127 PICKUP_CONTAINER 688
86 PICKUP_CONTAINER 554
45 DROP_CONTAINER 688
115 DROP_CONTAINER_TRAILER 554
45 PICKUP_CONTAINER_TRAILER 299
388 DROP_CONTAINER 299
128 PICKUP_CONTAINER 744
330 DROP_CONTAINER_TRAILER 744
436 PICKUP_CONTAINER_TRAILER 567
169 PICKUP_CONTAINER 50
88 DROP_CONTAINER 567
99 DROP_CONTAINER_TRAILER 50
149 PICKUP_CONTAINER_TRAILER 275
300 PICKUP_CONTAINER 967
100 DROP_CONTAINER 967
183 DROP_CONTAINER_TRAILER 275
31 PICKUP_CONTAINER_TRAILER 388
101 DROP_CONTAINER_TRAILER 388
66 PICKUP_CONTAINER_TRAILER 40
107 PICKUP_CONTAINER 167
236 DROP_CONTAINER 40
53 DROP_CONTAINER 167
445 PICKUP_CONTAINER 84
406 PICKUP_CONTAINER 663
92 DROP_CONTAINER 84
471 DROP_CONTAINER_TRAILER 663
6 STOP
#
TRUCK 22
100 PICKUP_CONTAINER_TRAILER 86
161 DROP_CONTAINER 86
494 PICKUP_CONTAINER 342
23 DROP_CONTAINER 342
253 PICKUP_CONTAINER 247
324 DROP_CONTAINER_TRAILER 247
371 PICKUP_CONTAINER_TRAILER 959
207 DROP_CONTAINER 959
36 PICKUP_CONTAINER 818
282 DROP_CONTAINER_TRAILER 818
233 PICKUP_CONTAINER_TRAILER 584
116 DROP_CONTAINER 584
189 PICKUP_CONTAINER 112
151 DROP_CONTAINER_TRAILER 112
396 PICKUP_CONTAINER_TRAILER 436
75 PICKUP_CONTAINER 158
212 DROP_CONTAINER 158
380 DROP_CONTAINER_TRAILER 436
390 PICKUP_CONTAINER_TRAILER 171
497 DROP_CONTAINER_TRAILER 171
2 STOP
#
TRUCK 23
340 PICKUP_CONTAINER_TRAILER 846
241 DROP_CONTAINER_TRAILER 846
404 PICKUP_CONTAINER_TRAILER 72
377 DROP_CONTAINER_TRAILER 72
219 PICKUP_CONTAINER_TRAILER 418
173 DROP_CONTAINER 418
466 PICKUP_CONTAINER 423
498 DROP_CONTAINER_TRAILER 423
498 PICKUP_CONTAINER_TRAILER 979
104 PICKUP_CONTAINER 83
61 DROP_CONTAINER 83
87 DROP_CONTAINER_TRAILER 979
59 PICKUP_CONTAINER_TRAILER 741
189 DROP_CONTAINER_TRAILER 741
209 PICKUP_CONTAINER_TRAILER 717
436 PICKUP_CONTAINER 14
291 DROP_CONTAINER 14
499 DROP_CONTAINER_TRAILER 717
2 STOP
#
TRUCK 24
139 PICKUP_CONTAINER_TRAILER 108
432 DROP_CONTAINER 108
225 PICKUP_CONTAINER 289
383 DROP_CONTAINER 289
49 PICKUP_CONTAINER 785
182 DROP_CONTAINER_TRAILER 785
56 PICKUP_CONTAINER_TRAILER 439
395 DROP_CONTAINER 439
301 PICKUP_CONTAINER 723
340 DROP_CONTAINER_TRAILER 723
198 PICKUP_CONTAINER_TRAILER 314
19 DROP_CONTAINER 314
431 PICKUP_CONTAINER 832
428 PICKUP_CONTAINER 474
156 DROP_CONTAINER 832
229 DROP_CONTAINER_TRAILER 474
223 PICKUP_CONTAINER_TRAILER 774
396 PICKUP_CONTAINER 520
313 DROP_CONTAINER 774
330 DROP_CONTAINER_TRAILER 520
490 PICKUP_CONTAINER_TRAILER 410
193 PICKUP_CONTAINER 605
235 DROP_CONTAINER 605
274 DROP_CONTAINER_TRAILER 410
5 STOP
#
TRUCK 25
279 PICKUP_CONTAINER_TRAILER 837
462 DROP_CONTAINER_TRAILER 837
124 PICKUP_CONTAINER_TRAILER 349
64 DROP_CONTAINER 349
251 PICKUP_CONTAINER 234
224 DROP_CONTAINER_TRAILER 234
27 PICKUP_CONTAINER_TRAILER 718
190 DROP_CONTAINER 718
483 PICKUP_CONTAINER 922
366 DROP_CONTAINER 922
451 PICKUP_CONTAINER 561
151 DROP_CONTAINER_TRAILER 561
401 PICKUP_CONTAINER_TRAILER 69
465 PICKUP_CONTAINER 340
428 DROP_CONTAINER 69
330 DROP_CONTAINER 340
143 PICKUP_CONTAINER 76
168 DROP_CONTAINER_TRAILER 76
6 STOP
#
TRUCK 26
81 PICKUP_CONTAINER_TRAILER 824
346 DROP_CONTAINER_TRAILER 824
444 PICKUP_CONTAINER_TRAILER 610
100 PICKUP_CONTAINER 268
107 DROP_CONTAINER 268
157 DROP_CONTAINER_TRAILER 610
54 PICKUP_CONTAINER_TRAILER 491
220 DROP_CONTAINER_TRAILER 491
369 PICKUP_CONTAINER_TRAILER 852
411 DROP_CONTAINER 852
13 PICKUP_CONTAINER 888
108 DROP_CONTAINER 888
465 PICKUP_CONTAINER 99
199 DROP_CONTAINER_TRAILER 99
320 PICKUP_CONTAINER_TRAILER 142
218 PICKUP_CONTAINER 297
332 DROP_CONTAINER 297
25 DROP_CONTAINER_TRAILER 142
3 STOP
#
TRUCK 27
148 PICKUP_CONTAINER_TRAILER 185
335 DROP_CONTAINER 185
285 PICKUP_CONTAINER 169
241 DROP_CONTAINER 169
125 PICKUP_CONTAINER 895
276 PICKUP_CONTAINER 855
64 DROP_CONTAINER 895
197 DROP_CONTAINER_TRAILER 855
312 PICKUP_CONTAINER_TRAILER 403
214 DROP_CONTAINER_TRAILER 403
130 PICKUP_CONTAINER_TRAILER 486
102 PICKUP_CONTAINER 820
321 DROP_CONTAINER 486
430 DROP_CONTAINER_TRAILER 820
223 PICKUP_CONTAINER_TRAILER 359
83 DROP_CONTAINER 359
256 PICKUP_CONTAINER 104
211 PICKUP_CONTAINER 547
296 DROP_CONTAINER 104
319 DROP_CONTAINER_TRAILER 547
42 PICKUP_CONTAINER_TRAILER 685
16 PICKUP_CONTAINER 884
451 DROP_CONTAINER 884
269 DROP_CONTAINER_TRAILER 685
2 STOP
#
TRUCK 28
260 PICKUP_CONTAINER_TRAILER 507
460 PICKUP_CONTAINER 370
144 DROP_CONTAINER 507
202 DROP_CONTAINER_TRAILER 370
465 PICKUP_CONTAINER_TRAILER 735
116 DROP_CONTAINER 735
259 PICKUP_CONTAINER 867
12 DROP_CONTAINER 867
193 PICKUP_CONTAINER 309
97 DROP_CONTAINER_TRAILER 309
280 PICKUP_CONTAINER_TRAILER 524
217 DROP_CONTAINER 524
332 PICKUP_CONTAINER 1000
471 DROP_CONTAINER 1000
367 PICKUP_CONTAINER 218
207 DROP_CONTAINER 218
445 PICKUP_CONTAINER 376
294 PICKUP_CONTAINER 522
449 DROP_CONTAINER 376
296 DROP_CONTAINER_TRAILER 522
69 PICKUP_CONTAINER_TRAILER 653
221 PICKUP_CONTAINER 153
364 DROP_CONTAINER 653
292 DROP_CONTAINER_TRAILER 153
2 STOP
#
TRUCK 29
170 PICKUP_CONTAINER_TRAILER 136
112 DROP_CONTAINER_TRAILER 136
221 PICKUP_CONTAINER_TRAILER 428
68 DROP_CONTAINER_TRAILER 428
375 PICKUP_CONTAINER_TRAILER 195
234 DROP_CONTAINER_TRAILER 195
425 PICKUP_CONTAINER_TRAILER 627
57 DROP_CONTAINER_TRAILER 627
352 PICKUP_CONTAINER_TRAILER 615
94 PICKUP_CONTAINER 883
92 DROP_CONTAINER 615
179 DROP_CONTAINER_TRAILER 883
130 PICKUP_CONTAINER_TRAILER 675
273 DROP_CONTAINER 675
103 PICKUP_CONTAINER 287
371 DROP_CONTAINER_TRAILER 287
43 PICKUP_CONTAINER_TRAILER 523
64 DROP_CONTAINER_TRAILER 523
4 STOP
#
TRUCK 30
279 PICKUP_CONTAINER_TRAILER 47
168 PICKUP_CONTAINER 721
322 DROP_CONTAINER 721
107 DROP_CONTAINER_TRAILER 47
1 PICKUP_TRAILER
282 PICKUP_CONTAINER 419
104 DROP_CONTAINER_TRAILER 419
480 PICKUP_CONTAINER_TRAILER 897
461 DROP_CONTAINER_TRAILER 897
139 PICKUP_CONTAINER_TRAILER 624
314 DROP_CONTAINER 624
405 PICKUP_CONTAINER 143
408 DROP_CONTAINER 143
459 PICKUP_CONTAINER 378
277 DROP_CONTAINER 378
309 PICKUP_CONTAINER 652
331 DROP_CONTAINER 652
1 DROP_TRAILER
128 PICKUP_CONTAINER_TRAILER 951
424 DROP_CONTAINER_TRAILER 951
5 STOP
#
TRUCK 31
117 PICKUP_CONTAINER_TRAILER 527
247 DROP_CONTAINER_TRAILER 527
460 PICKUP_CONTAINER_TRAILER 614
381 DROP_CONTAINER 614
465 PICKUP_CONTAINER 317
258 DROP_CONTAINER 317
167 PICKUP_CONTAINER 876
194 DROP_CONTAINER_TRAILER 876
271 PICKUP_CONTAINER_TRAILER 731
458 PICKUP_CONTAINER 95
170 DROP_CONTAINER 731
194 DROP_CONTAINER 95
389 PICKUP_CONTAINER 270
288 DROP_CONTAINER 270
273 PICKUP_CONTAINER 887
349 DROP_CONTAINER 887
497 PICKUP_CONTAINER 41
453 DROP_CONTAINER_TRAILER 41
146 PICKUP_CONTAINER_TRAILER 51
94 PICKUP_CONTAINER 138
411 DROP_CONTAINER 51
411 DROP_CONTAINER_TRAILER 138
5 STOP
#
TRUCK 32
396 PICKUP_CONTAINER_TRAILER 569
363 DROP_CONTAINER 569
298 PICKUP_CONTAINER 810
218 DROP_CONTAINER 810
160 PICKUP_CONTAINER 263
478 PICKUP_CONTAINER 354
178 DROP_CONTAINER 263
361 DROP_CONTAINER_TRAILER 354
1 PICKUP_TRAILER
448 PICKUP_CONTAINER 31
32 DROP_CONTAINER 31
53 PICKUP_CONTAINER 271
233 DROP_CONTAINER 271
359 PICKUP_CONTAINER 511
126 DROP_CONTAINER_TRAILER 511
5 STOP
#
TRUCK 33
191 PICKUP_CONTAINER_TRAILER 834
34 DROP_CONTAINER 834
481 PICKUP_CONTAINER 800
188 DROP_CONTAINER 800
467 PICKUP_CONTAINER 188
199 DROP_CONTAINER_TRAILER 188
21 PICKUP_CONTAINER_TRAILER 411
60 DROP_CONTAINER_TRAILER 411
252 PICKUP_CONTAINER_TRAILER 687
373 PICKUP_CONTAINER 377
246 DROP_CONTAINER 377
219 DROP_CONTAINER_TRAILER 687
442 PICKUP_CONTAINER_TRAILER 642
76 PICKUP_CONTAINER 249
370 DROP_CONTAINER 642
150 DROP_CONTAINER_TRAILER 249
188 PICKUP_CONTAINER_TRAILER 715
441 PICKUP_CONTAINER 539
113 DROP_CONTAINER 539
12 DROP_CONTAINER_TRAILER 715
2 STOP
#
TRUCK 34
33 PICKUP_CONTAINER_TRAILER 307
53 DROP_CONTAINER_TRAILER 307
111 PICKUP_CONTAINER_TRAILER 762
186 PICKUP_CONTAINER 683
64 DROP_CONTAINER 762
379 DROP_CONTAINER_TRAILER 683
190 PICKUP_CONTAINER_TRAILER 937
30 DROP_CONTAINER 937
299 PICKUP_CONTAINER 661
108 DROP_CONTAINER_TRAILER 661
190 PICKUP_CONTAINER_TRAILER 213
190 PICKUP_CONTAINER 899
289 DROP_CONTAINER 899
414 DROP_CONTAINER_TRAILER 213
227 PICKUP_CONTAINER_TRAILER 570
163 DROP_CONTAINER 570
121 PICKUP_CONTAINER 12
119 DROP_CONTAINER_TRAILER 12
2 STOP
#
TRUCK 35
293 PICKUP_CONTAINER_TRAILER 886
475 DROP_CONTAINER_TRAILER 886
445 PICKUP_CONTAINER_TRAILER 63
112 PICKUP_CONTAINER 676
379 DROP_CONTAINER 63
464 DROP_CONTAINER 676
257 PICKUP_CONTAINER 276
