Points 200
DISTANCES 40000
3 66 23
3 67 92
3 68 92
3 69 52
3 70 13
3 71 72
3 72 25
3 73 22
3 74 32
3 75 60
3 76 68
3 77 31
3 78 87
3 79 43
3 80 85
3 81 22
3 82 16
3 83 45
3 84 51
3 85 71
3 86 24
3 87 37
3 88 96
3 89 76
3 90 53
3 91 16
3 92 77
3 93 75
3 94 72
3 95 27
3 96 88
3 97 17
3 98 29
3 99 98
3 100 82
3 101 72
3 102 80
3 103 60
3 104 79
3 105 40
3 106 67
3 107 61
3 108 60
3 109 60
3 110 55
3 111 92
3 112 66
3 113 38
3 114 41
3 115 25
3 116 48
3 117 20
3 118 93
3 119 38
3 120 50
3 121 62
3 122 78
3 123 59
3 124 26
3 125 75
3 126 41
3 127 18
3 128 78
3 129 98
3 130 64
3 131 39
3 132 88
3 133 50
3 134 52
3 135 85
3 136 75
3 137 53
3 138 77
3 139 16
3 140 91
3 141 27
3 142 56
3 143 67
3 144 13
3 145 98
3 146 26
3 147 90
3 148 45
3 149 85
3 150 64
3 151 96
3 152 82
3 153 70
3 154 21
3 155 75
3 156 74
3 157 40
3 158 12
3 159 75
3 160 38
3 161 34
3 162 14
3 163 80
3 164 50
3 165 19
3 166 24
3 167 18
3 168 63
3 169 85
3 170 65
3 171 86
3 172 97
3 173 94
3 174 27
3 175 10
3 176 83
3 177 97
3 178 49
3 179 50
3 180 48
3 181 97
3 182 81
3 183 48
3 184 59
3 185 67
3 186 73
3 187 44
3 188 42
3 189 56
3 190 61
3 191 32
3 192 81
3 193 81
3 194 47
3 195 15
3 196 88
3 197 15
3 198 46
3 199 40
3 200 29
4 1 93
4 2 40
4 3 50
4 4 0
4 5 21
4 6 58
4 7 55
4 8 10
4 9 16
4 10 68
4 11 81
4 12 88
4 13 10
4 14 46
4 15 11
4 16 16
4 17 17
4 18 75
4 19 82
4 20 97
4 21 87
4 22 28
4 23 38
4 24 85
4 25 17
4 26 84
4 27 39
4 28 88
4 29 40
4 30 95
4 31 77
4 32 39
4 33 62
4 34 18
4 35 62
4 36 26
4 37 85
4 38 62
4 39 14
4 40 86
4 41 68
4 42 28
4 43 88
4 44 75
4 45 76
4 46 78
4 47 59
4 48 42
4 49 35
4 50 74
4 51 43
4 52 61
4 53 65
4 54 58
4 55 17
4 56 36
4 57 20
4 58 35
4 59 20
4 60 96
4 61 43
4 62 42
4 63 93
4 64 75
4 65 82
4 66 62
4 67 59
4 68 90
4 69 44
4 70 78
4 71 56
4 72 95
4 73 89
4 74 100
4 75 31
4 76 59
4 77 93
4 78 26
4 79 21
4 80 39
4 81 32
4 82 15
4 83 39
4 84 60
4 85 76
4 86 67
4 87 73
4 88 48
4 89 89
4 90 49
4 91 66
4 92 63
4 93 78
4 94 81
4 95 72
4 96 17
4 97 35
4 98 25
4 99 48
4 100 19
4 101 39
4 102 71
4 103 61
4 104 64
4 105 50
4 106 87
4 107 61
4 108 63
4 109 23
4 110 70
4 111 37
4 112 58
4 113 22
4 114 75
4 115 42
4 116 30
4 117 100
4 118 84
4 119 48
4 120 92
4 121 71
4 122 39
4 123 41
4 124 34
4 125 53
4 126 82
4 127 52
4 128 20
4 129 18
4 130 79
4 131 99
4 132 98
4 133 71
4 134 83
4 135 42
4 136 85
4 137 53
4 138 40
4 139 16
4 140 83
4 141 68
4 142 51
4 143 13
4 144 89
4 145 72
4 146 18
4 147 60
4 148 77
4 149 99
4 150 55
4 151 94
4 152 83
4 153 62
4 154 73
4 155 65
4 156 83
4 157 77
4 158 39
4 159 86
4 160 26
4 161 44
4 162 72
4 163 99
4 164 13
4 165 92
4 166 75
4 167 31
4 168 43
4 169 11
4 170 71
4 171 38
4 172 65
4 173 11
4 174 88
4 175 81
4 176 58
4 177 44
4 178 45
4 179 79
4 180 30
4 181 67
4 182 27
4 183 67
4 184 48
4 185 15
4 186 52
4 187 87
4 188 29
4 189 97
4 190 63
4 191 51
4 192 93
4 193 50
4 194 21
4 195 89
4 196 93
4 197 31
4 198 58
4 199 17
4 200 51
5 1 84
5 2 16
5 3 14
5 4 21
5 5 0
5 6 73
5 7 64
5 8 59
5 9 62
5 10 59
5 11 44
5 12 79
5 13 92
5 14 17
5 15 66
5 16 99
5 17 55
5 18 86
5 19 74
5 20 87
5 21 40
5 22 26
5 23 50
5 24 20
5 25 37
5 26 22
5 27 88
5 28 49
5 29 45
5 30 36
5 31 95
5 32 53
5 33 59
5 34 38
5 35 45
5 36 38
5 37 22
5 38 25
5 39 81
5 40 94
5 41 78
5 42 15
5 43 94
5 44 52
5 45 76
5 46 16
5 47 61
5 48 85
5 49 67
5 50 16
5 51 66
5 52 79
5 53 96
5 54 68
5 55 44
5 56 84
5 57 84
5 58 60
5 59 85
5 60 35
5 61 28
5 62 42
5 63 20
5 64 87
5 65 98
5 66 81
5 67 47
5 68 30
5 69 67
5 70 28
5 71 39
5 72 60
5 73 47
5 74 72
5 75 61
5 76 53
5 77 16
5 78 14
5 79 90
5 80 34
5 81 48
5 82 21
5 83 27
5 84 34
5 85 73
5 86 47
5 87 44
5 88 75
5 89 84
5 90 32
5 91 37
5 92 73
5 93 42
5 94 87
5 95 22
5 96 20
5 97 42
5 98 46
5 99 50
5 100 25
5 101 13
5 102 77
5 103 84
5 104 79
5 105 38
5 106 11
5 107 24
5 108 23
5 109 32
5 110 73
5 111 53
5 112 87
5 113 83
5 114 32
5 115 92
5 116 62
5 117 100
5 118 100
5 119 61
5 120 85
5 121 21
5 122 52
5 123 38
5 124 96
5 125 31
5 126 50
5 127 84
5 128 71
5 129 57
5 130 78
5 131 33
5 132 60
5 133 29
5 134 94
5 135 56
5 136 69
5 137 44
5 138 57
5 139 31
5 140 43
5 141 82
5 142 51
5 143 44
5 144 13
5 145 100
5 146 64
5 147 44
5 148 39
5 149 74
5 150 76
5 151 40
5 152 18
5 153 83
5 154 94
5 155 75
5 156 55
5 157 34
5 158 57
5 159 22
5 160 79
5 161 96
5 162 93
5 163 53
5 164 82
5 165 97
5 166 20
5 167 74
5 168 44
5 169 88
5 170 64
5 171 44
5 172 71
5 173 66
5 174 51
5 175 33
5 176 14
5 177 27
5 178 18
5 179 100
5 180 29
5 181 58
5 182 64
5 183 68
5 184 52
5 185 65
5 186 99
5 187 59
5 188 88
5 189 42
5 190 76
5 191 88
5 192 43
5 193 41
5 194 93
5 195 98
5 196 36
5 197 35
5 198 29
5 199 69
5 200 86
6 1 61
6 2 99
6 3 80
6 4 58
6 5 73
6 6 0
6 7 68
6 8 34
6 9 98
6 10 78
6 11 93
6 12 94
6 13 90
6 14 87
6 15 72
6 16 43
6 17 38
6 18 39
6 19 36
6 20 50
6 21 50
6 22 22
6 23 96
6 24 24
6 25 58
6 26 95
6 27 65
6 28 61
6 29 17
6 30 47
6 31 86
6 32 64
6 33 41
6 34 50
6 35 38
6 36 23
6 37 74
6 38 55
6 39 64
6 40 15
6 41 82
6 42 65
6 43 25
6 44 25
6 45 52
6 46 88
6 47 28
6 48 15
6 49 20
6 50 42
6 51 67
6 52 73
6 53 44
6 54 97
6 55 55
6 56 71
6 57 50
6 58 56
6 59 41
6 60 35
6 61 62
6 62 71
6 63 88
6 64 62
6 65 27
6 66 33
6 67 18
6 68 91
6 69 39
6 70 40
6 71 77
6 72 73
6 73 40
6 74 75
6 75 70
6 76 27
6 77 65
6 78 58
6 79 84
6 80 19
6 81 15
6 82 96
6 83 85
6 84 11
6 85 62
6 86 48
6 87 12
6 88 65
6 89 45
6 90 87
6 91 42
6 92 51
6 93 27
6 94 38
6 95 100
6 96 63
6 97 58
6 98 67
6 99 99
6 100 93
6 101 61
6 102 46
6 103 18
6 104 81
6 105 80
6 106 90
6 107 45
6 108 17
6 109 15
6 110 45
6 111 36
6 112 99
6 113 50
6 114 77
6 115 52
6 116 41
6 117 28
6 118 42
6 119 93
6 120 45
6 121 30
6 122 31
6 123 84
6 124 92
6 125 84
6 126 89
6 127 75
6 128 19
6 129 34
6 130 54
6 131 85
6 132 57
6 133 47
6 134 34
6 135 64
6 136 10
6 137 63
6 138 15
6 139 19
6 140 92
6 141 23
6 142 42
6 143 23
6 144 61
6 145 97
6 146 45
6 147 69
6 148 77
6 149 80
6 150 12
6 151 23
6 152 92
6 153 10
6 154 16
6 155 50
6 156 20
6 157 42
6 158 63
6 159 82
6 160 30
6 161 91
6 162 57
6 163 23
6 164 44
6 165 85
6 166 61
6 167 95
6 168 40
6 169 23
6 170 90
6 171 92
6 172 65
6 173 62
6 174 69
6 175 80
6 176 28
6 177 20
6 178 53
6 179 17
6 180 40
6 181 70
6 182 36
6 183 31
6 184 24
6 185 68
6 186 94
6 187 37
6 188 60
6 189 48
6 190 11
6 191 58
6 192 34
6 193 76
6 194 11
6 195 60
6 196 22
6 197 71
6 198 96
6 199 83
6 200 68
7 1 45
7 2 40
7 3 97
7 4 55
7 5 64
7 6 68
7 7 0
7 8 64
7 9 49
7 10 60
7 11 44
7 12 97
7 13 62
7 14 26
7 15 64
7 16 85
7 17 26
7 18 78
7 19 81
7 20 58
7 21 36
7 22 93
7 23 13
7 24 77
7 25 69
7 26 51
7 27 93
7 28 35
7 29 24
7 30 65
7 31 30
7 32 89
7 33 54
7 34 92
7 35 71
7 36 67
7 37 57
7 38 19
7 39 20
7 40 43
7 41 60
7 42 39
7 43 83
7 44 73
7 45 10
7 46 22
7 47 67
7 48 21
7 49 89
7 50 61
7 51 61
7 52 71
7 53 64
7 54 31
7 55 48
7 56 74
7 57 66
7 58 48
7 59 75
7 60 60
7 61 59
7 62 48
7 63 54
7 64 25
7 65 98
7 66 67
7 67 16
7 68 91
7 69 51
7 70 61
7 71 90
7 72 28
7 73 91
7 74 60
7 75 60
7 76 72
7 77 74
7 78 87
7 79 44
7 80 17
7 81 80
7 82 62
7 83 56
7 84 28
7 85 45
7 86 32
7 87 83
7 88 21
7 89 19
7 90 44
7 91 79
7 92 78
7 93 74
7 94 15
7 95 13
7 96 15
7 97 84
7 98 39
7 99 65
7 100 82
7 101 21
7 102 99
7 103 20
7 104 36
7 105 27
7 106 91
7 107 63
7 108 36
7 109 32
7 110 67
7 111 20
7 112 86
7 113 31
7 114 85
7 115 67
7 116 40
7 117 42
7 118 57
7 119 33
7 120 41
7 121 55
7 122 15
7 123 88
7 124 31
7 125 75
7 126 75
7 127 53
7 128 49
7 129 49
7 130 12
7 131 25
7 132 44
7 133 83
7 134 90
7 135 20
7 136 63
7 137 17
7 138 32
7 139 96
7 140 16
7 141 56
7 142 84
7 143 58
7 144 99
7 145 12
7 146 20
7 147 74
7 148 53
7 149 32
7 150 29
7 151 18
7 152 42
7 153 81
7 154 20
7 155 15
7 156 93
7 157 65
7 158 61
7 159 30
7 160 87
7 161 69
7 162 44
7 163 97
7 164 26
7 165 56
7 166 63
7 167 90
7 168 56
7 169 19
7 170 96
7 171 32
7 172 91
7 173 54
7 174 73
7 175 36
7 176 30
7 177 33
7 178 72
7 179 19
7 180 13
7 181 10
7 182 16
7 183 78
7 184 87
7 185 78
7 186 79
7 187 56
7 188 18
7 189 75
7 190 20
7 191 43
7 192 43
7 193 95
7 194 74
7 195 74
7 196 42
7 197 42
7 198 27
7 199 85
7 200 27
8 1 34
8 2 75
8 3 94
8 4 10
8 5 59
8 6 34
8 7 64
8 8 0
8 9 66
8 10 32
8 11 87
8 12 14
8 13 34
8 14 95
8 15 56
8 16 58
8 17 84
8 18 52
8 19 12
8 20 97
8 21 57
8 22 77
8 23 23
8 24 98
8 25 34
8 26 28
8 27 14
8 28 69
8 29 64
8 30 72
8 31 58
8 32 73
8 33 93
8 34 64
8 35 37
8 36 42
8 37 98
8 38 25
8 39 69
8 40 22
8 41 100
8 42 33
8 43 59
8 44 26
8 45 12
8 46 83
8 47 31
8 48 87
8 49 35
8 50 48
8 51 57
8 52 29
8 53 76
8 54 38
8 55 15
8 56 93
8 57 87
8 58 75
8 59 90
8 60 47
8 61 84
8 62 95
8 63 33
8 64 52
8 65 64
8 66 95
8 67 66
8 68 16
8 69 90
8 70 73
8 71 30
8 72 72
8 73 89
8 74 80
8 75 26
8 76 75
8 77 93
8 78 78
8 79 79
8 80 76
8 81 27
8 82 19
8 83 81
8 84 42
8 85 79
8 86 57
8 87 75
8 88 94
8 89 14
8 90 72
8 91 79
8 92 16
8 93 10
8 94 36
8 95 99
8 96 14
8 97 64
8 98 56
8 99 11
8 100 84
8 101 48
8 102 12
8 103 62
8 104 13
8 105 90
8 106 12
8 107 86
8 108 40
8 109 90
8 110 86
8 111 96
8 112 59
8 113 47
8 114 86
8 115 65
8 116 15
8 117 25
8 118 69
8 119 41
8 120 41
8 121 89
8 122 66
8 123 51
8 124 46
8 125 68
8 126 20
8 127 99
8 128 51
8 129 18
8 130 32
8 131 74
8 132 91
8 133 22
8 134 54
8 135 41
8 136 53
8 137 19
8 138 43
8 139 57
8 140 86
8 141 96
8 142 53
8 143 80
8 144 21
8 145 25
8 146 49
8 147 78
8 148 57
8 149 48
8 150 22
8 151 29
8 152 100
8 153 51
8 154 90
8 155 71
8 156 79
8 157 88
8 158 54
8 159 72
8 160 90
8 161 22
8 162 75
8 163 93
8 164 39
8 165 66
8 166 16
8 167 23
8 168 25
8 169 44
8 170 94
8 171 96
8 172 37
8 173 65
8 174 80
8 175 19
8 176 47
8 177 36
8 178 16
8 179 83
8 180 75
8 181 23
8 182 35
8 183 35
8 184 13
8 185 70
8 186 22
8 187 12
8 188 57
8 189 57
8 190 70
8 191 29
8 192 28
8 193 14
8 194 84
8 195 94
8 196 41
8 197 31
8 198 27
8 199 76
8 200 56
9 1 65
9 2 92
9 3 54
9 4 16
9 5 62
9 6 98
9 7 49
9 8 66
9 9 0
9 10 52
9 11 96
9 12 94
9 13 79
9 14 13
9 15 36
9 16 84
9 17 50
9 18 96
9 19 73
9 20 36
9 21 94
9 22 29
9 23 94
9 24 15
9 25 64
9 26 68
9 27 47
9 28 22
9 29 56
9 30 18
9 31 88
9 32 11
9 33 35
9 34 56
9 35 35
9 36 40
9 37 85
9 38 21
9 39 30
9 40 26
9 41 54
9 42 48
9 43 70
9 44 75
9 45 48
9 46 10
9 47 33
9 48 23
9 49 28
9 50 42
9 51 59
9 52 53
9 53 36
9 54 79
9 55 23
9 56 88
9 57 44
9 58 71
9 59 52
9 60 97
9 61 23
9 62 42
9 63 12
9 64 16
9 65 34
9 66 20
9 67 73
9 68 43
9 69 57
9 70 31
9 71 83
9 72 59
9 73 18
9 74 100
9 75 49
9 76 12
9 77 65
9 78 85
9 79 93
9 80 74
9 81 52
9 82 27
9 83 10
9 84 82
9 85 35
9 86 20
9 87 18
9 88 13
9 89 80
9 90 46
9 91 98
9 92 81
9 93 69
9 94 63
9 95 47
9 96 98
9 97 22
9 98 18
9 99 42
9 100 12
9 101 83
9 102 89
9 103 71
9 104 22
9 105 24
9 106 20
9 107 11
9 108 59
9 109 45
9 110 13
9 111 100
9 112 58
9 113 44
9 114 55
9 115 40
9 116 45
9 117 71
9 118 79
9 119 67
9 120 50
9 121 80
9 122 79
9 123 78
9 124 50
9 125 11
9 126 65
9 127 32
9 128 37
9 129 42
9 130 71
9 131 52
9 132 94
9 133 38
9 134 12
9 135 27
9 136 15
9 137 52
9 138 21
9 139 24
9 140 68
9 141 88
9 142 48
9 143 61
9 144 39
9 145 60
9 146 32
9 147 13
9 148 14
9 149 30
9 150 97
9 151 93
9 152 15
9 153 13
9 154 88
9 155 85
9 156 64
9 157 86
9 158 66
9 159 64
9 160 11
9 161 68
9 162 26
9 163 53
9 164 84
9 165 59
9 166 23
9 167 14
9 168 36
9 169 91
9 170 40
9 171 48
9 172 14
9 173 51
9 174 43
9 175 31
9 176 69
9 177 62
9 178 67
9 179 51
9 180 48
9 181 16
9 182 74
9 183 10
9 184 73
9 185 100
9 186 85
9 187 75
9 188 25
9 189 98
9 190 29
9 191 25
9 192 56
9 193 23
9 194 18
9 195 90
9 196 33
9 197 72
9 198 76
9 199 10
9 200 36
10 1 65
10 2 53
10 3 80
10 4 68
10 5 59
10 6 78
10 7 60
10 8 32
10 9 52
10 10 0
10 11 41
10 12 69
10 13 94
10 14 54
10 15 56
10 16 24
10 17 69
10 18 92
10 19 35
10 20 24
10 21 40
10 22 76
10 23 81
10 24 67
10 25 24
10 26 93
10 27 63
10 28 81
10 29 79
10 30 65
10 31 18
10 32 85
10 33 17
10 34 53
10 35 20
10 36 11
10 37 29
10 38 74
10 39 23
10 40 68
10 41 75
10 42 78
10 43 74
10 44 14
10 45 54
10 46 58
10 47 81
10 48 99
10 49 25
10 50 98
10 51 78
10 52 28
10 53 74
10 54 100
10 55 43
10 56 52
10 57 11
10 58 48
10 59 51
10 60 100
10 61 22
10 62 42
10 63 87
10 64 48
10 65 37
10 66 100
10 67 37
10 68 54
10 69 40
10 70 48
10 71 57
10 72 98
10 73 64
10 74 36
10 75 98
10 76 12
10 77 92
10 78 45
10 79 15
10 80 49
10 81 25
10 82 43
10 83 53
10 84 66
10 85 57
10 86 77
10 87 52
10 88 43
10 89 61
10 90 72
10 91 96
10 92 41
10 93 54
10 94 16
10 95 39
10 96 40
10 97 53
10 98 36
10 99 58
10 100 23
10 101 34
10 102 19
10 103 51
10 104 35
10 105 73
10 106 53
10 107 46
10 108 30
10 109 96
10 110 31
10 111 84
10 112 36
10 113 83
10 114 69
10 115 55
10 116 70
10 117 68
10 118 14
10 119 100
10 120 12
10 121 94
10 122 15
10 123 52
10 124 25
10 125 53
10 126 82
10 127 94
10 128 91
10 129 26
10 130 57
10 131 54
10 132 78
10 133 46
10 134 31
10 135 50
10 136 75
10 137 36
10 138 26
10 139 37
10 140 70
10 141 59
10 142 96
10 143 27
10 144 75
10 145 77
10 146 53
10 147 82
10 148 71
10 149 18
10 150 79
10 151 80
10 152 48
10 153 92
10 154 23
10 155 42
10 156 62
10 157 19
10 158 43
10 159 31
10 160 67
10 161 50
10 162 76
10 163 43
10 164 47
10 165 100
10 166 90
10 167 33
10 168 60
10 169 43
10 170 91
10 171 74
10 172 59
10 173 67
10 174 72
10 175 63
10 176 85
10 177 40
10 178 44
10 179 56
10 180 20
10 181 23
10 182 48
10 183 85
10 184 69
10 185 21
10 186 70
10 187 44
10 188 90
10 189 90
10 190 59
10 191 84
10 192 92
10 193 46
10 194 68
10 195 59
10 196 88
10 197 74
10 198 38
10 199 96
10 200 93
11 1 85
11 2 67
11 3 72
11 4 81
11 5 44
11 6 93
11 7 44
11 8 87
11 9 96
11 10 41
11 11 0
11 12 97
11 13 20
11 14 39
11 15 40
11 16 81
11 17 66
11 18 41
11 19 94
11 20 100
11 21 61
11 22 24
11 23 85
11 24 44
11 25 94
11 26 70
11 27 44
11 28 24
11 29 23
11 30 20
11 31 81
11 32 60
11 33 41
11 34 39
11 35 69
11 36 84
11 37 13
11 38 80
11 39 27
11 40 81
11 41 95
11 42 51
11 43 74
11 44 49
11 45 94
11 46 63
11 47 38
11 48 86
11 49 75
11 50 49
11 51 13
11 52 52
11 53 40
11 54 14
11 55 98
11 56 36
11 57 81
11 58 97
11 59 19
11 60 29
11 61 20
11 62 56
11 63 93
11 64 40
11 65 48
11 66 64
11 67 57
11 68 34
11 69 25
11 70 76
11 71 34
11 72 31
11 73 33
11 74 38
11 75 13
11 76 29
11 77 55
11 78 73
11 79 10
11 80 25
11 81 30
11 82 92
11 83 49
11 84 62
11 85 25
11 86 98
11 87 42
11 88 36
11 89 94
11 90 11
11 91 85
11 92 78
11 93 12
11 94 82
11 95 88
11 96 14
11 97 89
11 98 34
11 99 16
11 100 13
11 101 18
11 102 22
11 103 76
11 104 10
11 105 47
11 106 37
11 107 66
11 108 76
11 109 26
11 110 78
11 111 49
11 112 35
11 113 19
11 114 27
11 115 66
11 116 36
11 117 72
11 118 92
11 119 25
11 120 35
11 121 69
11 122 74
11 123 34
11 124 29
11 125 23
11 126 65
11 127 84
11 128 63
11 129 90
11 130 86
11 131 16
11 132 89
11 133 46
11 134 100
11 135 53
11 136 65
11 137 65
11 138 28
11 139 76
11 140 39
11 141 95
11 142 21
11 143 93
11 144 64
11 145 31
11 146 79
11 147 40
11 148 29
11 149 24
11 150 20
11 151 28
11 152 34
11 153 51
11 154 99
11 155 47
11 156 28
11 157 27
11 158 48
11 159 39
11 160 64
11 161 27
11 162 31
11 163 94
11 164 19
11 165 26
11 166 63
11 167 76
11 168 78
11 169 71
11 170 64
11 171 100
11 172 13
11 173 52
11 174 34
11 175 19
11 176 35
11 177 73
11 178 27
11 179 29
11 180 31
11 181 88
11 182 31
11 183 93
11 184 83
11 185 43
11 186 39
11 187 71
11 188 65
11 189 91
11 190 11
11 191 16
11 192 53
11 193 37
11 194 62
11 195 67
11 196 25
11 197 50
11 198 13
11 199 65
11 200 46
12 1 83
12 2 19
12 3 69
12 4 88
12 5 79
12 6 94
12 7 97
12 8 14
12 9 94
12 10 69
12 11 97
12 12 0
12 13 57
12 14 96
12 15 22
12 16 16
12 17 72
12 18 84
12 19 100
12 20 87
12 21 61
12 22 37
12 23 78
12 24 39
12 25 50
12 26 59
12 27 75
12 28 26
12 29 100
12 30 83
12 31 26
12 32 95
12 33 25
12 34 68
12 35 53
12 36 43
12 37 65
12 38 69
12 39 98
12 40 26
12 41 13
12 42 72
12 43 50
12 44 60
12 45 23
12 46 69
12 47 54
12 48 74
12 49 81
12 50 31
12 51 77
12 52 98
12 53 58
12 54 68
12 55 38
12 56 57
12 57 44
12 58 88
12 59 63
12 60 75
12 61 56
12 62 68
12 63 91
12 64 53
12 65 39
12 66 10
12 67 66
12 68 63
12 69 38
12 70 73
12 71 59
12 72 39
12 73 63
12 74 89
12 75 11
12 76 56
12 77 44
12 78 80
12 79 32
12 80 86
12 81 60
12 82 94
12 83 28
12 84 90
12 85 22
12 86 71
12 87 68
12 88 15
12 89 68
12 90 92
12 91 18
12 92 44
12 93 11
12 94 16
12 95 14
12 96 100
12 97 44
12 98 49
12 99 65
12 100 36
12 101 20
12 102 23
12 103 71
12 104 75
12 105 99
12 106 39
12 107 97
12 108 57
12 109 84
12 110 44
12 111 79
12 112 34
12 113 29
12 114 42
12 115 87
12 116 98
12 117 77
12 118 83
12 119 54
12 120 85
12 121 64
12 122 79
12 123 16
12 124 53
12 125 84
12 126 49
12 127 12
12 128 96
